route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
100,100010650,100010650,A. Lago,1,10001
100,100010710,100010710,Pab.Iglesias,0,10000
100,100010731,100010731,A. Lago,1,10001
100,100010758,100010758,Pab.Iglesias,0,10000
100,100010825,100010825,A. Lago,1,10001
100,100010852,100010852,Pab.Iglesias,0,10000
100,100010919,100010919,A. Lago,1,10001
100,100010946,100010946,Pab.Iglesias,0,10000
100,100011013,100011013,A. Lago,1,10001
100,100011040,100011040,Pab.Iglesias,0,10000
100,100011107,100011107,A. Lago,1,10001
100,100011134,100011134,Pab.Iglesias,0,10000
100,100011201,100011201,A. Lago,1,10001
100,100011228,100011228,Pab.Iglesias,0,10000
100,100011255,100011255,A. Lago,1,10001
100,100011322,100011322,Pab.Iglesias,0,10000
100,100011349,100011349,A. Lago,1,10001
100,100011416,100011416,Pab.Iglesias,0,10000
100,100011443,100011443,A. Lago,1,10001
100,100011510,100011510,Pab.Iglesias,0,10000
100,100011537,100011537,A. Lago,1,10001
100,100011604,100011604,Pab.Iglesias,0,10000
100,100011631,100011631,A. Lago,1,10001
100,100011658,100011658,Pab.Iglesias,0,10000
100,100011725,100011725,A. Lago,1,10001
100,100011752,100011752,Pab.Iglesias,0,10000
100,100011819,100011819,A. Lago,1,10001
100,100011846,100011846,Pab.Iglesias,0,10000
100,100011913,100011913,A. Lago,1,10001
100,100011940,100011940,Pab.Iglesias,0,10000
100,100012007,100012007,A. Lago,1,10001
100,100012034,100012034,Pab.Iglesias,0,10000
100,100012101,100012101,A. Lago,1,10001
100,100012128,100012128,Pab.Iglesias,0,10000
100,100020645,100020645,A. Lago,1,10001
100,100020705,100020705,Pab.Iglesias,0,10000
100,100020725,100020725,A. Lago,1,10001
100,100020750,100020750,Pab.Iglesias,0,10000
100,100020815,100020815,A. Lago,1,10001
100,100020840,100020840,Pab.Iglesias,0,10000
100,100020905,100020905,A. Lago,1,10001
100,100020930,100020930,Pab.Iglesias,0,10000
100,100020955,100020955,A. Lago,1,10001
100,100021020,100021020,Pab.Iglesias,0,10000
100,100021045,100021045,A. Lago,1,10001
100,100021110,100021110,Pab.Iglesias,0,10000
100,100021135,100021135,A. Lago,1,10001
100,100021200,100021200,Pab.Iglesias,0,10000
100,100021225,100021225,A. Lago,1,10001
100,100021250,100021250,Pab.Iglesias,0,10000
100,100021315,100021315,A. Lago,1,10001
100,100021340,100021340,Pab.Iglesias,0,10000
100,100021405,100021405,A. Lago,1,10001
100,100021430,100021430,Pab.Iglesias,0,10000
100,100021455,100021455,A. Lago,1,10001
100,100021520,100021520,Pab.Iglesias,0,10000
100,100021545,100021545,A. Lago,1,10001
100,100021610,100021610,Pab.Iglesias,0,10000
100,100021635,100021635,A. Lago,1,10001
100,100021700,100021700,Pab.Iglesias,0,10000
100,100021725,100021725,A. Lago,1,10001
